Title,Year,total_nominations,total_wins,oscar_nominations,oscar_wins,globe_nominations,globe_wins,genre
La La Land,2016,10,6,5,1,5,5,Pop Musical
La La Land,2016,10,6,5,1,5,5,Romantic Comedy
La La Land,2016,10,6,5,1,5,5,Drama
La La Land,2016,10,6,5,1,5,5,Musical
La La Land,2016,10,6,5,1,5,5,Showbiz Drama
La La Land,2016,10,6,5,1,5,5,Comedy
La La Land,2016,10,6,5,1,5,5,Romance
Manchester by the Sea,2016,8,3,4,2,4,1,Psychological Drama
Manchester by the Sea,2016,8,3,4,2,4,1,Tragedy
Manchester by the Sea,2016,8,3,4,2,4,1,Drama
The Shape of Water,2017,8,4,4,3,4,1,Dark Fantasy
The Shape of Water,2017,8,4,4,3,4,1,Dark Romance
The Shape of Water,2017,8,4,4,3,4,1,Fairy Tale
The Shape of Water,2017,8,4,4,3,4,1,Psychological Drama
The Shape of Water,2017,8,4,4,3,4,1,Supernatural Fantasy
The Shape of Water,2017,8,4,4,3,4,1,Drama
The Shape of Water,2017,8,4,4,3,4,1,Fantasy
The Shape of Water,2017,8,4,4,3,4,1,Romance
The Shape of Water,2017,8,4,4,3,4,1,Sci-Fi
Vice,2018,8,1,4,0,4,1,Dark Comedy
Vice,2018,8,1,4,0,4,1,Period Drama
Vice,2018,8,1,4,0,4,1,Political Drama
Vice,2018,8,1,4,0,4,1,Satire
Vice,2018,8,1,4,0,4,1,Biography
Vice,2018,8,1,4,0,4,1,Comedy
Vice,2018,8,1,4,0,4,1,Drama
Vice,2018,8,1,4,0,4,1,History
Marriage Story,2019,8,0,4,0,4,0,Epic
Marriage Story,2019,8,0,4,0,4,0,Romantic Epic
Marriage Story,2019,8,0,4,0,4,0,Drama
Marriage Story,2019,8,0,4,0,4,0,Romance
Nomadland,2020,8,5,4,3,4,2,Road Trip
Nomadland,2020,8,5,4,3,4,2,Tragedy
Nomadland,2020,8,5,4,3,4,2,Drama
Promising Young Woman,2020,8,1,4,1,4,0,Psychological Thriller
Promising Young Woman,2020,8,1,4,1,4,0,Suspense Mystery
Promising Young Woman,2020,8,1,4,1,4,0,Tragedy
Promising Young Woman,2020,8,1,4,1,4,0,Whodunnit
Promising Young Woman,2020,8,1,4,1,4,0,Crime
Promising Young Woman,2020,8,1,4,1,4,0,Drama
Promising Young Woman,2020,8,1,4,1,4,0,Mystery
Promising Young Woman,2020,8,1,4,1,4,0,Thriller
The Power of the Dog,2021,8,3,4,1,4,2,Period Drama
The Power of the Dog,2021,8,3,4,1,4,2,Psychological Drama
The Power of the Dog,2021,8,3,4,1,4,2,Drama
The Power of the Dog,2021,8,3,4,1,4,2,Western
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Action Epic
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Adventure Epic
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Dark Comedy
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Epic
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Fantasy Epic
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Martial Arts
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Sci-Fi
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Action
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Adventure
Everything Everywhere All at Once,2022,8,5,4,4,4,1,Comedy
The Banshees of Inisherin,2022,8,3,4,0,4,3,Dark Comedy
The Banshees of Inisherin,2022,8,3,4,0,4,3,Period Drama
The Banshees of Inisherin,2022,8,3,4,0,4,3,Psychological Drama
The Banshees of Inisherin,2022,8,3,4,0,4,3,Tragedy
The Banshees of Inisherin,2022,8,3,4,0,4,3,Comedy
The Banshees of Inisherin,2022,8,3,4,0,4,3,Drama
The Fabelmans,2022,8,2,4,0,4,2,Coming-of-Age
The Fabelmans,2022,8,2,4,0,4,2,Period Drama
The Fabelmans,2022,8,2,4,0,4,2,Psychological Drama
The Fabelmans,2022,8,2,4,0,4,2,Showbiz Drama
The Fabelmans,2022,8,2,4,0,4,2,Teen Drama
The Fabelmans,2022,8,2,4,0,4,2,Drama
Killers of the Flower Moon,2023,8,1,3,0,5,1,Epic
Killers of the Flower Moon,2023,8,1,3,0,5,1,Period Drama
Killers of the Flower Moon,2023,8,1,3,0,5,1,Psychological Drama
Killers of the Flower Moon,2023,8,1,3,0,5,1,Tragedy
Killers of the Flower Moon,2023,8,1,3,0,5,1,True Crime
Killers of the Flower Moon,2023,8,1,3,0,5,1,Western Epic
Killers of the Flower Moon,2023,8,1,3,0,5,1,Crime
Killers of the Flower Moon,2023,8,1,3,0,5,1,Drama
Killers of the Flower Moon,2023,8,1,3,0,5,1,History
Killers of the Flower Moon,2023,8,1,3,0,5,1,Western
Maestro,2023,8,0,4,0,4,0,Docudrama
Maestro,2023,8,0,4,0,4,0,Period Drama
Maestro,2023,8,0,4,0,4,0,Biography
Maestro,2023,8,0,4,0,4,0,Drama
Maestro,2023,8,0,4,0,4,0,History
Maestro,2023,8,0,4,0,4,0,Music
Maestro,2023,8,0,4,0,4,0,Romance
Oppenheimer,2023,8,6,4,3,4,3,Docudrama
Oppenheimer,2023,8,6,4,3,4,3,Epic
Oppenheimer,2023,8,6,4,3,4,3,Historical Epic
Oppenheimer,2023,8,6,4,3,4,3,Period Drama
Oppenheimer,2023,8,6,4,3,4,3,Psychological Drama
Oppenheimer,2023,8,6,4,3,4,3,Biography
Oppenheimer,2023,8,6,4,3,4,3,Drama
Oppenheimer,2023,8,6,4,3,4,3,History
Poor Things,2023,8,3,4,1,4,2,Dark Comedy
Poor Things,2023,8,3,4,1,4,2,Psychological Drama
Poor Things,2023,8,3,4,1,4,2,Steampunk
Poor Things,2023,8,3,4,1,4,2,Comedy
Poor Things,2023,8,3,4,1,4,2,Drama
Poor Things,2023,8,3,4,1,4,2,Romance
Poor Things,2023,8,3,4,1,4,2,Sci-Fi
Anora,2024,8,4,4,4,4,0,Dark Comedy
Anora,2024,8,4,4,4,4,0,Raunchy Comedy
Anora,2024,8,4,4,4,4,0,Steamy Romance
Anora,2024,8,4,4,4,4,0,Comedy
Anora,2024,8,4,4,4,4,0,Drama
Anora,2024,8,4,4,4,4,0,Romance
Emilia Perez,2024,8,1,4,0,4,1,Spanish
Emilia Perez,2024,8,1,4,0,4,1,Pop Musical
Emilia Perez,2024,8,1,4,0,4,1,Crime
Emilia Perez,2024,8,1,4,0,4,1,Drama
Emilia Perez,2024,8,1,4,0,4,1,Musical
Emilia Perez,2024,8,1,4,0,4,1,Thriller
The Brutalist,2024,8,4,4,1,4,3,Epic
The Brutalist,2024,8,4,4,1,4,3,Psychological Drama
The Brutalist,2024,8,4,4,1,4,3,Drama
The Substance,2024,8,1,4,0,4,1,Body Horror
The Substance,2024,8,1,4,0,4,1,Dark Comedy
The Substance,2024,8,1,4,0,4,1,Monster Horror
The Substance,2024,8,1,4,0,4,1,Psychological Horror
The Substance,2024,8,1,4,0,4,1,Showbiz Drama
The Substance,2024,8,1,4,0,4,1,Splatter Horror
The Substance,2024,8,1,4,0,4,1,Tragedy
The Substance,2024,8,1,4,0,4,1,Drama
The Substance,2024,8,1,4,0,4,1,Horror
The Substance,2024,8,1,4,0,4,1,Sci-Fi
Hamnet,2025,8,3,4,1,4,2,Costume Drama
Hamnet,2025,8,3,4,1,4,2,Epic
Hamnet,2025,8,3,4,1,4,2,Historical Epic
Hamnet,2025,8,3,4,1,4,2,Period Drama
Hamnet,2025,8,3,4,1,4,2,Psychological Drama
Hamnet,2025,8,3,4,1,4,2,Romantic Epic
Hamnet,2025,8,3,4,1,4,2,Tragedy
Hamnet,2025,8,3,4,1,4,2,Biography
Hamnet,2025,8,3,4,1,4,2,Drama
Hamnet,2025,8,3,4,1,4,2,History
One Battle After Another,2025,9,6,4,3,5,3,Action Epic
One Battle After Another,2025,9,6,4,3,5,3,Dark Comedy
One Battle After Another,2025,9,6,4,3,5,3,Epic
One Battle After Another,2025,9,6,4,3,5,3,Political Drama
One Battle After Another,2025,9,6,4,3,5,3,Political Thriller
One Battle After Another,2025,9,6,4,3,5,3,Psychological Drama
One Battle After Another,2025,9,6,4,3,5,3,Psychological Thriller
One Battle After Another,2025,9,6,4,3,5,3,Action
One Battle After Another,2025,9,6,4,3,5,3,Crime
One Battle After Another,2025,9,6,4,3,5,3,Drama
Sentimental Value,2025,8,0,4,0,4,0,Norwegian
Sentimental Value,2025,8,0,4,0,4,0,Psychological Drama
Sentimental Value,2025,8,0,4,0,4,0,Showbiz Drama
Sentimental Value,2025,8,0,4,0,4,0,Drama
Sinners,2025,8,2,4,2,4,0,Folk Horror
Sinners,2025,8,2,4,2,4,0,Period Drama
Sinners,2025,8,2,4,2,4,0,Supernatural Horror
Sinners,2025,8,2,4,2,4,0,Vampire Horror
Sinners,2025,8,2,4,2,4,0,Action
Sinners,2025,8,2,4,2,4,0,Drama
Sinners,2025,8,2,4,2,4,0,Horror
Sinners,2025,8,2,4,2,4,0,Music
Sinners,2025,8,2,4,2,4,0,Thriller